file_index,tile_id,unique_number,Memo,Scale,Significant,Marginal,Subtraction,Error
350,T00434,4307,nan,zscale,0,0,0,0
351,T00434,4309,nan,zscale,0,0,0,0
352,T00434,4313,nan,zscale,0,0,0,0
353,T00434,4322,nan,zscale,0,0,0,0
354,T00434,4334,nan,zscale,0,0,0,0
355,T00434,4339,nan,zscale,0,0,0,0
356,T00434,4342,nan,zscale,0,0,0,0
357,T00434,4354,nan,zscale,0,0,0,0
358,T00434,4368,nan,zscale,0,0,0,0
359,T00434,4373,nan,zscale,0,0,0,0
360,T00434,4381,nan,zscale,0,0,0,0
361,T00434,4404,nan,zscale,0,0,0,0
362,T00434,4422,nan,zscale,0,0,0,0
363,T00434,4434,nan,zscale,0,0,0,0
364,T00434,4444,nan,zscale,0,0,0,0
365,T00434,4448,nan,zscale,0,0,0,0
366,T00434,4451,nan,zscale,0,0,0,0
367,T00434,4454,nan,zscale,0,0,0,0
368,T00434,4459,nan,zscale,0,0,0,0
369,T00434,4465,nan,zscale,0,0,0,0
370,T00434,4489,nan,zscale,0,0,0,0
371,T00434,4500,nan,zscale,0,0,0,0
372,T00434,4511,nan,zscale,0,0,0,0
373,T00434,4530,nan,zscale,0,0,0,0
374,T00434,4550,nan,zscale,0,0,0,0
375,T00434,4560,nan,zscale,0,0,0,0
376,T00434,4561,nan,zscale,0,0,0,0
377,T00434,4570,nan,zscale,0,0,0,0
378,T00434,4571,nan,zscale,0,0,0,0
379,T00434,4576,nan,zscale,0,0,0,0
380,T00434,4580,nan,zscale,0,0,0,0
381,T00434,4581,nan,zscale,0,0,0,0
382,T00434,4583,nan,zscale,0,0,0,0
383,T00434,4585,nan,zscale,0,0,0,0
384,T00434,4608,nan,zscale,0,0,0,0
385,T00434,4614,nan,zscale,0,0,0,0
386,T00434,4617,nan,zscale,0,0,0,0
387,T00434,4634,nan,zscale,0,0,0,0
388,T00434,4637,nan,zscale,0,0,0,0
389,T00434,4650,nan,zscale,0,0,0,0
390,T00434,4655,nan,zscale,0,0,0,0
391,T00434,4660,nan,zscale,0,0,0,0
392,T00434,4661,nan,zscale,0,0,0,0
393,T00434,4662,nan,zscale,0,0,0,0
394,T00434,4665,nan,zscale,0,0,0,0
395,T00434,4679,nan,zscale,0,0,0,0
396,T00434,4684,nan,zscale,0,0,0,0
397,T00434,4685,nan,zscale,0,0,0,0
398,T00434,4687,nan,zscale,0,0,0,0
399,T00434,4692,nan,zscale,0,0,0,0
400,T00434,4707,nan,zscale,0,0,0,0
401,T00434,4718,nan,zscale,0,0,0,0
402,T00434,4734,nan,zscale,0,0,0,0
403,T00434,4749,nan,zscale,0,0,0,0
404,T00434,4752,nan,zscale,0,0,0,0
405,T00434,4760,nan,zscale,0,0,0,0
406,T00434,4762,nan,zscale,0,0,0,0
407,T00434,4773,nan,zscale,0,0,0,0
408,T00434,4780,nan,zscale,0,0,0,0
409,T00434,4781,nan,zscale,0,0,0,0
410,T00434,4786,nan,zscale,0,0,0,0
411,T00434,4796,nan,zscale,0,0,0,0
412,T00434,4798,nan,zscale,0,0,0,0
413,T00434,4808,nan,zscale,0,0,0,0
414,T00434,4813,nan,zscale,0,0,0,0
415,T00434,4817,nan,zscale,0,0,0,0
416,T00434,4823,nan,zscale,0,0,0,0
417,T00434,4824,nan,zscale,0,0,0,0
418,T00434,4832,nan,zscale,0,0,0,0
419,T00434,4834,nan,zscale,0,0,0,0
420,T00434,4846,nan,zscale,0,0,0,0
421,T00434,4849,nan,zscale,0,0,0,0
422,T00434,4875,nan,zscale,0,0,0,0
423,T00434,4889,nan,zscale,0,0,0,0
424,T00434,4890,nan,zscale,0,0,0,0
425,T00434,4897,nan,zscale,0,0,0,0
426,T00434,4904,nan,zscale,0,0,0,0
427,T00434,4912,nan,zscale,0,0,0,0
428,T00434,4914,nan,zscale,0,0,0,0
429,T00434,4920,nan,zscale,0,0,0,0
430,T00434,4921,nan,zscale,0,0,0,0
431,T00434,4946,nan,zscale,0,0,0,0
432,T00434,4960,nan,zscale,0,0,0,0
433,T00434,4966,nan,zscale,0,0,0,0
434,T00434,4983,nan,zscale,0,0,0,0
435,T00434,4985,nan,zscale,0,0,0,0
436,T00434,4986,nan,zscale,0,0,0,0
437,T00434,4989,nan,zscale,0,0,0,0
438,T00434,5001,nan,zscale,0,0,0,0
439,T00434,5016,nan,zscale,0,0,0,0
440,T00434,5043,nan,zscale,0,0,0,0
441,T00434,5084,nan,zscale,0,0,0,0
442,T00434,5088,nan,zscale,0,0,0,0
443,T00434,5090,nan,zscale,0,0,0,0
444,T00434,5095,nan,zscale,0,0,0,0
445,T00434,5096,nan,zscale,0,0,0,0
446,T00434,5099,nan,zscale,0,0,0,0
447,T00434,5101,nan,zscale,0,0,0,0
448,T00434,5107,nan,zscale,0,0,0,0
449,T00434,5128,nan,zscale,0,0,0,0
450,T00434,5134,nan,zscale,0,0,0,0
451,T00434,5160,nan,zscale,0,0,0,0
452,T00434,5167,nan,zscale,0,0,0,0
453,T00434,5186,nan,zscale,0,0,0,0
454,T00434,5193,nan,zscale,0,0,0,0
455,T00434,5197,nan,zscale,0,0,0,0
456,T00434,5198,nan,zscale,0,0,0,0
457,T00434,5222,nan,zscale,0,0,0,0
458,T00434,5226,nan,zscale,0,0,0,0
459,T00434,5228,nan,zscale,0,0,0,0
460,T00434,5229,nan,zscale,0,0,0,0
461,T00434,5231,nan,zscale,0,0,0,0
462,T00434,5232,nan,zscale,0,0,0,0
463,T00434,5235,nan,zscale,0,0,0,0
464,T00434,5240,nan,zscale,0,0,0,0
465,T00434,5249,nan,zscale,0,0,0,0
466,T00434,5251,nan,zscale,0,0,0,0
467,T00434,5261,nan,zscale,0,0,0,0
468,T00434,5264,nan,zscale,0,0,0,0
469,T00434,5280,nan,zscale,0,0,0,0
470,T00434,5293,nan,zscale,0,0,0,0
471,T00434,5296,nan,zscale,0,0,0,0
472,T00434,5313,nan,zscale,0,0,0,0
473,T00434,5354,nan,zscale,0,0,0,0
474,T00434,5358,nan,zscale,0,0,0,0
475,T00434,5370,nan,zscale,0,0,0,0
476,T00434,5373,nan,zscale,0,0,0,0
477,T00434,5376,nan,zscale,0,0,0,0
478,T00434,5395,nan,zscale,0,0,0,0
479,T00434,5397,nan,zscale,0,0,0,0
480,T00434,5402,nan,zscale,0,0,0,0
481,T00434,5410,nan,zscale,0,0,0,0
482,T00434,5431,nan,zscale,0,0,0,0
483,T00434,5452,nan,zscale,0,0,0,0
484,T00434,5460,nan,zscale,0,0,0,0
485,T00434,5470,nan,zscale,0,0,0,0
486,T00434,5471,nan,zscale,0,0,0,0
487,T00434,5480,nan,zscale,0,0,0,0
488,T00434,5483,nan,zscale,0,0,0,0
489,T00434,5493,nan,zscale,0,0,0,0
490,T00434,5498,nan,zscale,0,0,0,0
491,T00434,5506,nan,zscale,0,0,0,0
492,T00434,5510,nan,zscale,0,0,0,0
493,T00434,5511,nan,zscale,0,0,0,0
494,T00434,5547,nan,zscale,0,0,0,0
495,T00434,5548,nan,zscale,0,0,0,0
496,T00434,5554,nan,zscale,0,0,0,0
497,T00434,5569,nan,zscale,0,0,0,0
498,T00434,5586,nan,zscale,0,0,0,0
499,T00434,5593,nan,zscale,0,0,0,0
500,T00434,5600,nan,zscale,0,0,0,0
501,T00434,5605,nan,zscale,0,0,0,0
502,T00434,5608,nan,zscale,0,0,0,0
503,T00434,5624,nan,zscale,0,0,0,0
504,T00434,5633,nan,zscale,0,0,0,0
505,T00434,5636,nan,zscale,0,0,0,0
506,T00434,5652,nan,zscale,0,0,0,0
507,T00434,5655,nan,zscale,0,0,0,0
508,T00434,5658,nan,zscale,0,0,0,0
509,T00434,5678,nan,zscale,0,0,0,0
510,T00434,5680,nan,zscale,0,0,0,0
511,T00434,5698,nan,zscale,0,0,0,0
512,T00434,5700,nan,zscale,0,0,0,0
513,T00434,5706,nan,zscale,0,0,0,0
514,T00434,5721,nan,zscale,0,0,0,0
515,T00434,5722,nan,zscale,0,0,0,0
516,T00434,5735,nan,zscale,0,0,0,0
517,T00434,5750,nan,zscale,0,0,0,0
518,T00434,5757,nan,zscale,0,0,0,0
519,T00434,5773,nan,zscale,0,0,0,0
520,T00434,5774,nan,zscale,0,0,0,0
521,T00434,5784,nan,zscale,0,0,0,0
522,T00434,5786,nan,zscale,0,0,0,0
523,T00434,5795,nan,zscale,0,0,0,0
524,T00434,5806,nan,zscale,0,0,0,0
525,T00434,5807,nan,zscale,0,0,0,0
526,T00434,5814,nan,zscale,0,0,0,0
527,T00434,5816,nan,zscale,0,0,0,0
